component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus59,False,31,3
vbus80,False,17,3
vbus89,False,16,3
vbus49,False,14,3
vbus116,False,10,3
vbus77,False,6,3
vbus90,False,15,4
vbus85,False,12,4
vbus92,False,10,4
vbus27,False,4,4
vbus15,False,3,4
vbus101,False,2,4
br183,False,2,4
vbus45,False,2,4
vbus70,False,2,4
vbus79,False,1,4
vbus39,False,1,4
vbus54,False,7,5
vbus12,False,5,5
vbus55,False,5,5
vbus6,False,3,5
vbus78,False,2,5
vbus34,False,1,5
vbus82,False,1,5
br71,False,1,5
vbus44,False,1,5
vbus74,False,6,6
vbus56,False,6,6
vbus42,False,4,6
vbus76,False,4,6
vbus11,False,3,6
vbus23,False,2,6
vbus68,False,2,6
vbus96,False,2,6
vbus66,False,2,6
vbus13,False,1,6
br22,False,1,6
vbus118,False,1,6
br181,False,1,6
vbus88,False,1,6
br47,False,1,6
vbus47,False,1,6
vbus8,False,1,6
vbus36,False,1,6
br139,False,1,6
vbus40,False,3,7
vbus107,False,2,7
vbus31,False,1,7
br90,False,1,7
br167,False,1,7
vbus62,False,1,7
vbus48,False,1,7
vbus91,False,1,7
vbus69,False,3,8
vbus1,False,2,8
vbus86,False,2,8
vbus4,False,2,8
vbus46,False,2,8
vbus19,False,2,8
br8,False,1,8
vbus5,False,1,8
vbus35,False,1,8
br116,False,1,8
vbus94,False,1,8
vbus17,False,1,8
vbus38,False,1,8
vbus50,False,1,9
vbus53,False,1,9
vbus109,False,1,9
vbus28,False,1,9
br145,False,1,10
br146,False,1,10
br51,False,1,11
