component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus12,False,102,3
vbus8,False,80,3
vbus1,False,52,3
vbus6,False,48,3
vbus9,False,40,3
vbus3,False,23,3
vbus15,False,7,3
br15,False,4,3
br3,False,4,3
vbus13,False,3,3
br8,False,2,3
br60,False,1,3
vbus47,False,1,3
vbus2,False,13,4
vbus4,False,8,4
vbus7,False,6,4
br41,False,4,4
br63,False,4,4
br18,False,4,4
br16,False,3,4
br6,False,3,4
vbus16,False,3,4
vbus37,False,2,4
br57,False,2,4
br14,False,2,4
br44,False,1,4
br9,False,1,4
vbus27,False,1,4
vbus5,False,1,4
vbus29,False,1,4
vbus45,False,1,4
vbus18,False,1,4
vbus44,False,1,4
vbus49,False,1,4
br2,False,1,4
vbus55,False,1,4
br50,False,1,4
vbus33,False,1,4
vbus57,False,1,4
vbus42,False,1,4
vbus38,False,1,4
br28,False,1,4
vbus34,False,1,4
br24,False,1,4
vbus17,False,1,4
vbus14,False,1,4
br72,False,1,4
vbus36,False,1,4
vbus50,False,1,4
br67,False,1,5
br22,False,1,5
br5,False,1,5
vbus28,False,1,5
vbus53,False,1,5
vbus23,False,1,6
br38,False,1,6
br68,False,1,6
vbus19,False,1,6
